name,born,type,roles,title,released,tagline
Emil Eifrem,1978,ACTED_IN,Emil;,The Matrix,1999,Welcome to the Real World
Joel Silver,1952,PRODUCED,,The Matrix,1999,Welcome to the Real World
Lana Wachowski,1965,DIRECTED,,The Matrix,1999,Welcome to the Real World
Andy Wachowski,1967,DIRECTED,,The Matrix,1999,Welcome to the Real World
Hugo Weaving,1960,ACTED_IN,Agent Smith;,The Matrix,1999,Welcome to the Real World
Laurence Fishburne,1961,ACTED_IN,Morpheus;,The Matrix,1999,Welcome to the Real World
Carrie-Anne Moss,1967,ACTED_IN,Trinity;,The Matrix,1999,Welcome to the Real World
Keanu Reeves,1964,ACTED_IN,Neo;,The Matrix,1999,Welcome to the Real World
Joel Silver,1952,PRODUCED,,The Matrix Reloaded,2003,Free your mind
Lana Wachowski,1965,DIRECTED,,The Matrix Reloaded,2003,Free your mind
Andy Wachowski,1967,DIRECTED,,The Matrix Reloaded,2003,Free your mind
Hugo Weaving,1960,ACTED_IN,Agent Smith;,The Matrix Reloaded,2003,Free your mind
Laurence Fishburne,1961,ACTED_IN,Morpheus;,The Matrix Reloaded,2003,Free your mind
Carrie-Anne Moss,1967,ACTED_IN,Trinity;,The Matrix Reloaded,2003,Free your mind
Keanu Reeves,1964,ACTED_IN,Neo;,The Matrix Reloaded,2003,Free your mind
Lana Wachowski,1965,DIRECTED,,The Matrix Revolutions,2003,Everything that has a beginning has an end
Joel Silver,1952,PRODUCED,,The Matrix Revolutions,2003,Everything that has a beginning has an end
Hugo Weaving,1960,ACTED_IN,Agent Smith;,The Matrix Revolutions,2003,Everything that has a beginning has an end
Andy Wachowski,1967,DIRECTED,,The Matrix Revolutions,2003,Everything that has a beginning has an end
Carrie-Anne Moss,1967,ACTED_IN,Trinity;,The Matrix Revolutions,2003,Everything that has a beginning has an end
Laurence Fishburne,1961,ACTED_IN,Morpheus;,The Matrix Revolutions,2003,Everything that has a beginning has an end
Keanu Reeves,1964,ACTED_IN,Neo;,The Matrix Revolutions,2003,Everything that has a beginning has an end
Al Pacino,1940,ACTED_IN,John Milton;,The Devil's Advocate,1997,Evil has its winning ways
Taylor Hackford,1944,DIRECTED,,The Devil's Advocate,1997,Evil has its winning ways
Keanu Reeves,1964,ACTED_IN,Kevin Lomax;,The Devil's Advocate,1997,Evil has its winning ways
Charlize Theron,1975,ACTED_IN,Mary Ann Lomax;,The Devil's Advocate,1997,Evil has its winning ways
Aaron Sorkin,1961,ACTED_IN,Man in Bar;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Christopher Guest,1948,ACTED_IN,Dr. Stone;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Aaron Sorkin,1961,WROTE,,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Rob Reiner,1947,DIRECTED,,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Kevin Pollak,1957,ACTED_IN,Lt. Sam Weinberg;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Cuba Gooding Jr.,1968,ACTED_IN,Cpl. Carl Hammaker;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
James Marshall,1967,ACTED_IN,Pfc. Louden Downey;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
J.T. Walsh,1943,ACTED_IN,Lt. Col. Matthew Andrew Markinson;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Kiefer Sutherland,1966,ACTED_IN,Lt. Jonathan Kendrick;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Noah Wyle,1971,ACTED_IN,Cpl. Jeffrey Barnes;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Demi Moore,1962,ACTED_IN,Lt. Cdr. JoAnne Galloway;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Kevin Bacon,1958,ACTED_IN,Capt. Jack Ross;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Tom Cruise,1962,ACTED_IN,Lt. Daniel Kaffee;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Jack Nicholson,1937,ACTED_IN,Col. Nathan R. Jessup;,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Meg Ryan,1961,ACTED_IN,Carole;,Top Gun,1986,"I feel the need, the need for speed."
Tom Skerritt,1933,ACTED_IN,Viper;,Top Gun,1986,"I feel the need, the need for speed."
Jim Cash,1941,WROTE,,Top Gun,1986,"I feel the need, the need for speed."
Tony Scott,1944,DIRECTED,,Top Gun,1986,"I feel the need, the need for speed."
Kelly McGillis,1957,ACTED_IN,Charlie;,Top Gun,1986,"I feel the need, the need for speed."
Tom Cruise,1962,ACTED_IN,Maverick;,Top Gun,1986,"I feel the need, the need for speed."
Anthony Edwards,1962,ACTED_IN,Goose;,Top Gun,1986,"I feel the need, the need for speed."
Val Kilmer,1959,ACTED_IN,Iceman;,Top Gun,1986,"I feel the need, the need for speed."
Jonathan Lipnicki,1996,ACTED_IN,Ray Boyd;,Jerry Maguire,2000,The rest of his life begins now.
Cameron Crowe,1957,DIRECTED,,Jerry Maguire,2000,The rest of his life begins now.
Cameron Crowe,1957,PRODUCED,,Jerry Maguire,2000,The rest of his life begins now.
Cameron Crowe,1957,WROTE,,Jerry Maguire,2000,The rest of his life begins now.
Jerry O'Connell,1974,ACTED_IN,Frank Cushman;,Jerry Maguire,2000,The rest of his life begins now.
Jay Mohr,1970,ACTED_IN,Bob Sugar;,Jerry Maguire,2000,The rest of his life begins now.
Bonnie Hunt,1961,ACTED_IN,Laurel Boyd;,Jerry Maguire,2000,The rest of his life begins now.
Regina King,1971,ACTED_IN,Marcee Tidwell;,Jerry Maguire,2000,The rest of his life begins now.
Tom Cruise,1962,ACTED_IN,Jerry Maguire;,Jerry Maguire,2000,The rest of his life begins now.
Cuba Gooding Jr.,1968,ACTED_IN,Rod Tidwell;,Jerry Maguire,2000,The rest of his life begins now.
Renee Zellweger,1969,ACTED_IN,Dorothy Boyd;,Jerry Maguire,2000,The rest of his life begins now.
